intent,response,utter_send_link,utter_ask_more,featureless
RECOMMEND_TASTE-GOOD,<LOCATION-TYPE_FEATURE>의 맛있는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 맛이 좋은 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 맛있는 데를 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 맛있는 데를 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 맛있는 <FOOD-TYPE_FEATURE><가> 있는  <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 맛있는 <INGREDIENT-TYPE_FEATURE><가> 있는  <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 맛있는 한식당을 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_TASTE-TYPE,<LOCATION-TYPE_FEATURE>의 <TASTE-TYPE_FEATURE> <FOOD-TYPE_FEATURE> <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <TASTE-TYPE_FEATURE> 느낌의 <INGREDIENT-TYPE_FEATURE> <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 <TASTE-TYPE_FEATURE> <FOOD-TYPE_FEATURE> <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 <TASTE-TYPE_FEATURE> <FOOD-TYPE_FEATURE> <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 매운 김치찌개 집을 추천해줘와 같이 구체적인 맛과 음식명을 말씀해 주시겠어요?
RECOMMEND_AMOUNT,<LOCATION-TYPE_FEATURE>의 양이 푸짐한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <INGREDIENT-TYPE_FEATURE> 핵 많이 들어있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 소자보다 더 많이 주는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 소자보다 더 많이 주는 데 추천을 희망하시는군요. ,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 양이 많은 한식집을 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_PRICE-GOOD,<LOCATION-TYPE_FEATURE>의 음식 값이 저렴한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 싼 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 매우 부담스럽지 않은 가격의 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 매우 부담스럽지 않은 가격의 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 음식 값이 싼 중식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_PRICE-FREE,<LOCATION-TYPE_FEATURE>의 <INGREDIENT-TYPE_FEATURE> 무료인 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <INGREDIENT-TYPE_FEATURE> 공짜로 먹을 수 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 꽁짜로 <FOOD-TYPE_FEATURE> 주는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 꽁짜로 <FOOD-TYPE_FEATURE> 주는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 밥이 무료인 맛집 추천해줘와 같이 구체적인 메뉴를 말씀해 주시겠어요?
RECOMMEND_TRANSPORTATION,<LOCATION-TYPE_FEATURE>의 접근성이 좋은 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 편한 위치에 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 버스 정거장에서 가까운 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 버스 정거장에서 가까운 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 접근성이 좋은 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_REVIEW,<LOCATION-TYPE_FEATURE>의 평이 좋은 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 재방문 의사가 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 리뷰 점수가 만점인 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 리뷰 점수가 만점인 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 리뷰가 많은 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_GOODTOGO,<LOCATION-TYPE_FEATURE>의 <GOODTOGO_FEATURE> 가기 좋은 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <GOODTOGO_FEATURE> 갈만한 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 <GOODTOGO_FEATURE> 적합한 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 <GOODTOGO_FEATURE> 가기 좋은 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 친구끼리 갈만한 중국집 추천해줘와 같이 구체적인 동반자 혹은 기념일을 말씀해 주시겠어요?
RECOMMEND_PROVIDED,<LOCATION-TYPE_FEATURE>의 <PROVIDED_FEATURE> 구비되어 있는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <PROVIDED_FEATURE> 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 <PROVIDED_FEATURE> 있는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 <PROVIDED_FEATURE> 있는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 주차장이 구비되어있는 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_VIEW,<LOCATION-TYPE_FEATURE>의 <VIEW_FEATURE><가> 잘 보이는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <VIEW_FEATURE> 뷰인 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 <VIEW_FEATURE><강> 잘 보이는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 <VIEW_FEATURE><가> 잘 보이는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 한강이 잘 보이는 한식집 추천해줘와 같이 구체적인 뷰를 말씀해 주시겠어요?
